timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-25 19:21:00,258.46,258.47,258.3,258.46,52.825,1737832919999,13648.99851,66,19.181,4956.29717,0
2025-01-25 19:22:00,258.49,258.71,258.49,258.56,55.882,1737832979999,14449.78957,86,23.63,6110.26692,0
2025-01-25 19:23:00,258.56,258.92,258.56,258.89,20.04,1737833039999,5187.56195,26,3.825,990.24131,0
2025-01-25 19:24:00,258.9,258.92,258.85,258.89,16.545,1737833099999,4283.37239,20,5.932,1535.73103,0
2025-01-25 19:25:00,258.84,258.84,258.66,258.75,44.306,1737833159999,11464.90039,49,20.504,5306.02512,0
2025-01-25 19:26:00,258.75,259.19,258.75,259.19,41.249,1737833219999,10682.8114,48,31.319,8111.67798,0
2025-01-25 19:27:00,259.08,259.08,258.8,258.8,19.451,1737833279999,5036.38016,28,3.979,1030.20327,0
2025-01-25 19:28:00,258.83,258.87,258.79,258.87,93.787,1737833339999,24277.24315,85,63.713,16493.13661,0
2025-01-25 19:29:00,258.87,259.33,258.78,259.19,82.241,1737833399999,21299.70853,59,56.156,14537.10372,0
2025-01-25 19:30:00,259.21,259.33,258.6,259.32,119.646,1737833459999,31010.69475,101,35.497,9203.26929,0
2025-01-25 19:31:00,259.32,259.35,257.6,259.24,96.941,1737833519999,25133.4464,70,15.62,4050.9193,0
2025-01-25 19:32:00,259.27,259.29,258.7,259.26,83.865,1737833579999,21740.14292,64,30.488,7903.41384,0
2025-01-25 19:33:00,259.26,259.5,259.18,259.18,73.422,1737833639999,19041.69983,83,11.242,2916.00789,0
2025-01-25 19:34:00,259.39,259.57,258.78,259.52,109.2,1737833699999,28332.72213,84,43.921,11396.14323,0
2025-01-25 19:35:00,259.56,259.84,259.43,259.65,68.739,1737833759999,17851.2334,74,17.526,4551.60621,0
2025-01-25 19:36:00,259.78,259.78,92.01,259.54,107.449,1737833819999,23735.02885,81,12.445,3231.10687,0
2025-01-25 19:37:00,259.51,259.58,259.44,259.53,43.78,1737833879999,11361.75914,51,10.424,2705.31375,0
